"order_no","Dates","markup","amount","tax_amount"
"38252938","01/03/2024 10:34:43 AM","Rails Markup","4.48","0.39"
"38252966","01/03/2024 10:38:59 AM","Rails Markup","3.23","0.28"
"38253072","01/03/2024 10:59:23 AM","Rails Markup","2.70","0.24"
"38253211","01/03/2024 11:06:15 AM","Rails Markup","6.25","0.55"
"38253265","01/03/2024 11:08:37 AM","Rails Markup","2.70","0.24"
"38253482","01/03/2024 11:20:21 AM","Rails Markup","3.19","0.28"
"38253599","01/03/2024 11:25:41 AM","Rails Markup","3.70","0.32"
"38253647","01/03/2024 11:27:26 AM","Rails Markup","1.94","0.17"
"38253818","01/03/2024 11:34:13 AM","Rails Markup","0.70","0.06"
"38253857","01/03/2024 11:35:34 AM","Rails Markup","4.89","0.43"
"38253933","01/03/2024 11:38:51 AM","Rails Markup","10.40","0.91"
"38253959","01/03/2024 11:40:03 AM","Rails Markup","10.00","0.88"
"38254090","01/03/2024 11:44:24 AM","Rails Markup","4.80","0.42"
"38254114","01/03/2024 11:45:12 AM","Rails Markup","2.98","0.26"
"38254166","01/03/2024 11:46:57 AM","Rails Markup","3.70","0.32"
"38254319","01/03/2024 11:51:03 AM","Rails Markup","3.10","0.27"
"38254419","01/03/2024 11:54:33 AM","Rails Markup","1.94","0.17"
"38255225","01/03/2024 12:12:40 PM","Rails Markup","2.90","0.25"
"38255354","01/03/2024 12:15:31 PM","Rails Markup","4.29","0.38"
"38255531","01/03/2024 12:19:24 PM","Rails Markup","2.70","0.24"
"38255631","01/03/2024 12:21:04 PM","Rails Markup","1.90","0.17"
"38255647","01/03/2024 12:21:15 PM","Rails Markup","4.80","0.42"
"38255718","01/03/2024 12:22:32 PM","Rails Markup","3.14","0.27"
"38255844","01/03/2024 12:25:24 PM","Rails Markup","2.50","0.22"
"38256099","01/03/2024 12:30:28 PM","Rails Markup","4.90","0.43"
"38256500","01/03/2024 12:37:59 PM","Rails Markup","3.00","0.26"
"38256805","01/03/2024 12:44:13 PM","Rails Markup","2.70","0.24"
"38257383","01/03/2024 12:54:05 PM","Rails Markup","2.98","0.26"
"38257577","01/03/2024 12:57:24 PM","Rails Markup","3.19","0.28"
"38257579","01/03/2024 12:57:27 PM","Rails Markup","7.49","0.66"
"38258222","01/03/2024 01:07:47 PM","Rails Markup","3.30","0.29"
"38258324","01/03/2024 01:09:11 PM","Rails Markup","2.70","0.24"
"38258699","01/03/2024 01:14:27 PM","Rails Markup","1.90","0.17"
"38259632","01/03/2024 01:27:05 PM","Rails Markup","2.98","0.26"
"38260775","01/03/2024 01:41:50 PM","Rails Markup","8.08","0.71"
"38260846","01/03/2024 01:42:46 PM","Rails Markup","1.30","0.11"
"38261118","01/03/2024 01:46:32 PM","Rails Markup","3.70","0.32"
"38261385","01/03/2024 01:50:15 PM","Rails Markup","2.90","0.25"
"38261508","01/03/2024 01:51:53 PM","Rails Markup","2.50","0.22"
"38261553","01/03/2024 01:52:32 PM","Rails Markup","2.90","0.25"
"38262917","01/03/2024 02:08:29 PM","Rails Markup","2.10","0.18"
"38263225","01/03/2024 02:12:03 PM","Rails Markup","3.30","0.29"
"38263939","01/03/2024 02:19:37 PM","Rails Markup","0.80","0.07"
"38264211","01/03/2024 02:22:23 PM","Rails Markup","4.64","0.41"
"38264336","01/03/2024 02:23:40 PM","Rails Markup","3.30","0.29"
"38264688","01/03/2024 02:27:10 PM","Rails Markup","3.60","0.32"
"38264781","01/03/2024 02:28:10 PM","Rails Markup","0.80","0.07"
"38266012","01/03/2024 02:41:02 PM","Rails Markup","3.80","0.33"
"38266080","01/03/2024 02:41:41 PM","Rails Markup","2.90","0.25"
"38267148","01/03/2024 02:53:10 PM","Rails Markup","4.30","0.38"
"38267924","01/03/2024 03:02:04 PM","Rails Markup","2.94","0.26"
"38268014","01/03/2024 03:02:59 PM","Rails Markup","6.30","0.55"
"38268532","01/03/2024 03:08:19 PM","Rails Markup","1.00","0.09"
"38269707","01/03/2024 03:19:28 PM","Rails Markup","6.40","0.56"
"38270522","01/03/2024 03:27:29 PM","Rails Markup","2.90","0.25"
"38270641","01/03/2024 03:28:40 PM","Rails Markup","4.60","0.40"
"38270727","01/03/2024 03:29:34 PM","Rails Markup","1.40","0.12"
"38271132","01/03/2024 03:33:53 PM","Rails Markup","4.60","0.40"
"38271207","01/03/2024 03:34:43 PM","Rails Markup","5.88","0.51"
"38271450","01/03/2024 03:37:19 PM","Rails Markup","2.90","0.25"
"38272093","01/03/2024 03:43:22 PM","Rails Markup","2.74","0.24"
"38272474","01/03/2024 03:46:59 PM","Rails Markup","2.86","0.25"
"38273052","01/03/2024 03:53:05 PM","Rails Markup","2.70","0.24"
"38273085","01/03/2024 03:53:22 PM","Rails Markup","3.74","0.33"
"38273120","01/03/2024 03:53:43 PM","Rails Markup","8.62","0.75"
"38273438","01/03/2024 03:56:49 PM","Rails Markup","2.20","0.19"
"38273536","01/03/2024 03:57:37 PM","Rails Markup","4.60","0.40"
"38273556","01/03/2024 03:57:49 PM","Rails Markup","5.80","0.51"
"38273872","01/03/2024 04:01:04 PM","Rails Markup","2.39","0.21"
"38274812","01/03/2024 04:11:03 PM","Rails Markup","10.10","0.88"
"38275361","01/03/2024 04:16:37 PM","Rails Markup","3.90","0.34"
"38275579","01/03/2024 04:18:55 PM","Rails Markup","2.50","0.22"
"38275635","01/03/2024 04:19:37 PM","Rails Markup","6.60","0.58"
"38275816","01/03/2024 04:21:19 PM","Rails Markup","2.98","0.26"
"38276122","01/03/2024 04:24:49 PM","Rails Markup","15.84","1.39"
"38276362","01/03/2024 04:27:34 PM","Rails Markup","4.30","0.38"
"38276593","01/03/2024 04:30:08 PM","Rails Markup","3.39","0.30"
"38276814","01/03/2024 04:32:25 PM","Rails Markup","2.90","0.25"
"38277081","01/03/2024 04:35:19 PM","Rails Markup","4.97","0.43"
"38277348","01/03/2024 04:38:36 PM","Rails Markup","2.70","0.24"
"38277613","01/03/2024 04:41:27 PM","Rails Markup","5.10","0.45"
"38277791","01/03/2024 04:43:30 PM","Rails Markup","2.90","0.25"
"38278013","01/03/2024 04:45:37 PM","Rails Markup","2.19","0.19"
"38278131","01/03/2024 04:47:09 PM","Rails Markup","2.70","0.24"
