"staff_id","scheduled_in","scheduled_out","actual_in","actual_out","break","hours"
"1400339","16:00:00","22:00:00","16:02:00","22:01:00","00:00:00","05:59:00"
"1372481","10:00:00","17:00:00","10:02:00","17:01:00","00:30:00","06:29:00"
"1371697","17:30:00","01:00:00","17:47:00","01:43:00","00:30:00","07:26:00"
"1372485","10:15:00","17:00:00","10:10:00","17:01:00","00:30:00","06:21:00"
"1371806","09:00:00","17:30:00","08:58:00","17:30:00","00:31:00","08:01:00"
"1432201","00:00:00","00:00:00","09:57:00","17:01:00","00:29:00","06:35:00"
"1371716","16:45:00","23:30:00","16:53:00","23:41:00","00:32:00","06:16:00"
"1407428","10:00:00","17:00:00",,,"00:00:00","00:00:00"
"956576","10:00:00","17:00:00",,,"00:00:00","00:00:00"
"1105377","16:45:00","23:30:00","17:00:00","21:36:00","00:00:00","04:36:00"
"1387291","16:45:00","23:00:00",,,"00:00:00","00:00:00"
"1404230","17:00:00","01:00:00","17:02:00","01:00:00","00:31:00","07:27:00"
"1372212","10:00:00","16:00:00","10:04:00","16:05:00","00:00:00","06:01:00"
"1372098","10:15:00","17:00:00","10:11:00","17:12:00","00:29:00","06:32:00"
"1371728","17:00:00","23:15:00","17:01:00","21:32:00","00:00:00","04:31:00"
"1371719","10:00:00","17:00:00","10:11:00","16:08:00","00:48:00","05:09:00"
"1398518","00:00:00","00:00:00","17:38:00","21:02:00","00:00:00","03:24:00"
"1254810","17:00:00","23:15:00","17:47:00","23:39:00","00:00:00","05:52:00"
"1421317","17:00:00","23:30:00","17:02:00","23:32:00","00:28:00","06:02:00"
"1432198","00:00:00","00:00:00","10:01:00","16:57:00","00:30:00","06:26:00"
"1392276","08:00:00","16:00:00","08:02:00","16:01:00","00:30:00","07:29:00"
"1400407","16:00:00","21:30:00","16:01:00","21:33:00","00:00:00","05:32:00"
"1371735","17:00:00","23:30:00","17:00:00","21:32:00","00:00:00","04:32:00"
"1412910","10:00:00","17:00:00","12:53:00","14:20:00","00:00:00","01:27:00"
"1398595","17:00:00","21:30:00","16:54:00","21:34:00","00:00:00","04:40:00"
"1371796","17:00:00","23:30:00","17:00:00","00:27:00","00:29:00","06:58:00"
"1421324","17:00:00","00:00:00","17:10:00","00:08:00","00:33:00","06:25:00"
"1398703","16:45:00","00:00:00","16:25:00","00:02:00","00:36:00","07:01:00"
"1425923","10:15:00","17:00:00",,,"00:00:00","00:00:00"
"1371778","08:00:00","16:00:00","08:19:00","16:23:00","00:34:00","07:30:00"
"1408290","10:15:00","17:00:00","10:11:00","17:11:00","00:30:00","06:30:00"
"1422618","10:15:00","17:00:00","10:29:00","17:13:00","00:31:00","06:13:00"
"1371727","09:00:00","17:00:00","09:06:00","17:00:00","00:26:00","07:28:00"
"1373322","17:30:00","01:00:00","17:48:00","01:43:00","00:34:00","07:21:00"
"1371965","16:45:00","23:00:00","16:47:00","17:58:00","00:00:00","01:11:00"
"1425944","08:00:00","16:00:00","08:05:00","16:09:00","00:31:00","07:33:00"
"1373050","16:45:00","23:30:00","17:05:00","23:38:00","00:31:00","06:02:00"
"1372843","08:00:00","19:00:00","08:07:00","17:55:00","00:34:00","09:14:00"
"1398668","17:00:00","01:00:00","17:28:00","23:42:00","00:33:00","05:41:00"
"1400318","17:00:00","23:00:00","16:54:00","23:01:00","00:00:00","06:07:00"
"1373024","09:00:00","16:00:00","08:26:00","15:35:00","00:29:00","06:40:00"
"1372969","16:45:00","23:00:00","16:44:00","17:57:00","00:00:00","01:13:00"
"1371604","17:00:00","01:00:00","16:01:00","01:48:00","00:30:00","09:17:00"
"1372182","10:15:00","16:00:00","10:13:00","16:00:00","00:05:00","05:42:00"
"1372081","10:00:00","16:00:00","10:02:00","16:02:00","00:00:00","06:00:00"
"1371773","11:00:00","17:00:00","10:51:00","17:03:00","00:00:00","06:12:00"
"1371960","10:15:00","17:00:00","10:11:00","17:11:00","00:32:00","06:28:00"
"1406548","10:15:00","17:00:00","10:11:00","16:58:00","00:30:00","06:17:00"
"1372475","16:00:00","01:00:00","16:02:00","01:46:00","00:30:00","09:14:00"
"1371803","16:00:00","23:30:00","16:17:00","23:57:00","00:23:00","07:17:00"
"1371687","17:00:00","00:15:00","17:18:00","00:27:00","00:30:00","06:39:00"
"1373325","10:15:00","17:00:00","10:24:00","17:02:00","02:58:00","03:40:00"
