"order_no","total_amt","item_quantity","modified_item_type","modified_item","order_start","prep_length","zip","markup","distinct_order_total_amt"
"38252917","0.87","1","Beverage","Regular Soft Drink","23:27:36","00:05:57","14150",,"0.87"
"38252917","0.87","1","Food","Mac and Cheese","23:27:36","00:05:57","14150",,
"38252917","0.87","1","Meal","Daves #2","23:27:36","00:05:57","14150",,
"38252917","19.01","1","Beverage","Regular Soft Drink","23:27:36","00:05:57","14226",,
"38252917","19.01","1","Food","Mac and Cheese","23:27:36","00:05:57","14226",,
"38252917","19.01","1","Meal","Daves #2","23:27:36","00:05:57","14226",,
"38252920","20.14","1","Beverage","Regular Soft Drink","10:32:52","00:01:09","14226",,"20.14"
"38252920","20.14","1","Meal","Daves #1","10:32:52","00:01:09","14226",,
"38252925","19.4","1","Food","Mac and Cheese","10:35:06","00:02:24","14150",,"19.4"
"38252925","19.4","1","Meal","Daves #2","10:35:06","00:02:24","14150",,
"38252929","25","0","GiftCard","GiftCard",,,"14150",,"25"
"38252938","29.74","1","Sauce","OLO Side Dave’s Sauce","10:34:48","00:01:29","14150","Rails Markup","29.74"
"38252938","29.74","1","Meal","Daves #3","10:34:48","00:01:29","14150","Rails Markup",
"38252938","29.74","1","Shake","Chocolate Shake LG","10:34:48","00:01:29","14150","Rails Markup",
"38252938","29.74","1","Beverage","Bottled Sprite","10:34:48","00:01:29","14150","Rails Markup",
"38252939","29.86","2","Beverage","Small Soft Drink","10:36:43","00:02:03","14150",,"29.86"
"38252939","29.86","2","Meal","Daves #4","10:36:43","00:02:03","14150",,
"38252943","25","0","GiftCard","GiftCard",,,"14150",,"25"
"38252951","25","0","GiftCard","GiftCard",,,"14150",,"25"
"38252953","11.61","1","Meal","Daves #4","10:38:48","00:03:56","14150",,"11.61"
"38252957","25","0","GiftCard","GiftCard",,,"14150",,"25"
"38252963","19.54","1","Beverage","Regular Soft Drink","10:40:17","00:04:45","14150",,"19.54"
"38252963","19.54","1","Meal","Daves #3","10:40:17","00:04:45","14150",,
"38252964","15.75","1","Beverage","Water Cup","10:40:25","00:05:18","14150",,"15.75"
"38252964","15.75","1","Sauce","Side Cheese Sauce","10:40:25","00:05:18","14150",,
"38252964","15.75","1","Meal","Daves #3","10:40:25","00:05:18","14150",,
"38252966","21.71","1","Sauce","OLO Side Dave’s Sauce","10:39:05","00:01:35","14150","Rails Markup","21.71"
"38252966","21.71","1","Meal","Daves #2","10:39:05","00:01:35","14150","Rails Markup",
"38252971","16.6","1","Meal","Daves #3","10:39:47","00:05:45","14150",,"16.6"
"38252976","19.55","1","Beverage","Small Soft Drink","10:45:13","00:03:44","14150",,"19.55"
"38252976","19.55","1","Meal","Daves #2","10:45:13","00:03:44","14150",,
"38252998","30.43","1","Beverage","Regular Soft Drink","10:45:09","00:03:10","14150",,"30.43"
"38252998","30.43","1","Sauce","OLO Side Dave’s Sauce","10:45:09","00:03:29","14150",,
"38252998","30.43","2","Meal","Daves #1","10:45:09","00:03:29","14150",,
"38253024","110.15","1","Food","Single Tender","10:51:39","00:06:24","14150",,"110.15"
"38253024","110.15","2","Food","Mac and Cheese","10:51:39","00:06:24","14150",,
"38253024","110.15","1","Food","Kale Slaw","10:51:39","00:06:24","14150",,
"38253024","110.15","2","Meal","Daves #4","10:51:39","00:06:24","14150",,
"38253024","110.15","5","Meal","Daves #1","10:51:39","00:06:24","14150",,
"38253026","9.89","1","Shake","M&M TLS","10:52:55","00:00:04","14150",,"9.89"
"38253036","16.85","1","Meal","Daves #3","10:54:46","00:02:06","14150",,"16.85"
"38253072","18.15","1","Meal","Daves #3","10:59:29","00:01:18","14261","Rails Markup","18.15"
"38253185","23.13","1","Food","Single Tender","11:06:21","00:04:45","14150",,"23.13"
"38253185","23.13","1","Beverage","Regular Soft Drink","11:06:21","00:04:45","14150",,
